Zona,Tipo de Trabalho,Nº de vagas
Aveiro,Generative AI Engineer,1
Aveiro,Project Manager (CRM Dynamics),1
Aveiro,Python Engineer,1
Aveiro,Senior IT Engineer,1
Aveiro,Software Engineer (Python + React),1
Aveiro,System Administrator Linux,1
Aveiro,Technical Team Lead,1
Aveiro,Web Developer,1
Aveiro,Web Developer (Angular),1
Braga,AI Engineer,1
Braga,Android Developer,1
Braga,Backend Developer (NodeJS/.NET),1
Braga,Cloud  Architect,1
Braga,Customer Support Consultant - VoIP,1
Braga,Data Analyst,1
Braga,Delivery Manager,1
Braga,Generative AI Engineer,1
Braga,Junior Data Analytics Consultant,1
Braga,Microsoft Tech Lead,1
Braga,Python Engineer,1
Braga,SAP C4C SDK and PDI Consultant,1
Braga,SAP Datashpere & 4HANA,1
Braga,Senior AI Engineer,1
Braga,Senior DevOps Engineer,1
Braga,System Administrator Linux,1
Braga,Team Leader Desenvolvimento de Software,1
Castelo Branco,Python Engineer,1
Coimbra,AI Engineer,1
Coimbra,Generative AI Engineer,1
Coimbra,Intermediate Data Scientist,1
Coimbra,Programador - Java,1
Coimbra,Python Engineer,1
Coimbra,SAP C4C SDK and PDI Consultant,1
Coimbra,SAP Datashpere & 4HANA,1
Coimbra,Senior AI Engineer,1
Coimbra,Senior Java with AI,1
Desconhecida,Backend Developer - Java/Kotlin & Kafka,1
Desconhecida,Consultor Técnico de IT – Soluções Digitais e Automação,1
Desconhecida,Full-Stack Developer,1
Desconhecida,Security Engineer,1
Guarda,Generative AI Engineer,1
Internacional,Full Stack Developer (Node & React),1
Internacional,Senior SAP ABAP Developer,1
Internacional,Tester Manual,1
Leiria,Generative AI Engineer,1
Lisboa,.NET Backend Engineer,1
Lisboa,.NET Software Engineer,1
Lisboa,.Net Developer,1
Lisboa,AI Engineer,1
Lisboa,Administrador de Sistemas Windows,1
Lisboa,Administrator Sistemas,1
Lisboa,Analista Aplicacional Sénior,1
Lisboa,Analista Funcional Senior,1
Lisboa,Analista Programador ASP,1
Lisboa,Analista Reporting - Júnior,1
Lisboa,Android Developer,2
Lisboa,Angular Developer,3
Lisboa,Application Support,1
Lisboa,Application Support Engineer,1
Lisboa,Azure Data Engineer,1
Lisboa,Azure Migration Specialist,1
Lisboa,BI Microsoft,1
Lisboa,Backend Developer,1
Lisboa,Business Analyst,2
Lisboa,Business Manager,1
Lisboa,Business/Super User of Relex Solutions,1
Lisboa,C# Developer,1
Lisboa,C# Regulatory Developer,1
Lisboa,CRM Dynamics Developer,1
Lisboa,Cloud  Architect,1
Lisboa,Cloud Architect/Azure Solution Architect,1
Lisboa,Cloud Engineer,1
Lisboa,Cloud Engineer / Platform Engineer,1
Lisboa,Cobol Developer,2
Lisboa,Commercial Intelligence,1
Lisboa,Consultor SRE,1
Lisboa,Data Analyst,2
Lisboa,Data Engineer,4
Lisboa,Data Engineer (AWS),1
Lisboa,Data Engineer (English speaker),1
Lisboa,Data Engineer- Azure,1
Lisboa,Data Scientist,2
Lisboa,Data Scientist e Machine Learning Engineer,1
Lisboa,Delivery Manager,1
Lisboa,DevOps,1
Lisboa,DevOps Engineer,2
Lisboa,Developer Power Apps,1
Lisboa,Fixed Network Support Engineer,1
Lisboa,FrontEnd React Developer,1
Lisboa,Frontend Developer,1
Lisboa,Full Stack Developer Java com React,1
Lisboa,Fullstack Developer,1
